Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1326","Herbicides – Urea derivates","2019","2019","t","73.04","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1326","Herbicides – Urea derivates","2020","2020","t","66.59","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2017","2017","t","11.56","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2018","2018","t","10.36","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2019","2019","t","9.96","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1328","Herbicides – Sulfonyl ureas","2020","2020","t","10.04","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1329","Herbicides – Bipiridils","2017","2017","t","67.58","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1329","Herbicides – Bipiridils","2018","2018","t","114.73","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1329","Herbicides – Bipiridils","2019","2019","t","47.38","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1329","Herbicides – Bipiridils","2020","2020","t","0","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1330","Herbicides – Uracil","2017","2017","t","5.76","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1330","Herbicides – Uracil","2018","2018","t","4.26","X","Figure from international organizations","Figure from international organizations"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1330","Herbicides – Uracil","2019","2019","t","6.39","X","Figure from international organizations","Figure from international organizations"
