contig;Subgroup
NODE_A85_length_4478_cov_4.913429_BE_16561_sum_mid_d;Family3
NODE_A67_length_3297_cov_6.890994_NL_19102_aut_mid_d;Family3
NODE_A574_length_2681_cov_37.545699_BE_16557_sum_mid_d;Family3
NODE_A55_length_4370_cov_11.098532_DE_18027_spr_mid_d;Family3
NODE_A472_length_2599_cov_7.963918_DE_18032_sum_mid_d;Family3
NODE_A165_length_2611_cov_19.515391_BE_16561_aut_mid_d;Family3
NODE_A69_length_4698_cov_9.303398_BE_16558_spr_mid_d;Family3
NODE_A38_length_4486_cov_8.621229_RO_26022_aut_mid_d;Family3
NODE_A359_length_2300_cov_4.552857_NL_20378_aut_mid_d;Family3
NODE_A385_length_3313_cov_5.430779_BE_16557_sum_mid_d;Family3
NODE_A48_length_4467_cov_313.281777_PT_19411_spr_mid_d;Family3
NODE_A152_length_4341_cov_65.519231_NL_19101_sum_mid_d;Family3
NODE_A76_length_4329_cov_10.812324_BE_16558_aut_mid_d;Family3
NODE_A213_length_4248_cov_21.092544_DE_18032_sum_mid_d;Family3
NODE_A90_length_3785_cov_5.543420_BE_16561_aut_mid_d;Family3
NODE_A165_length_2935_cov_5.978656_DE_18033_aut_mid_d;Family3
NODE_A263_length_3715_cov_5.713029_DE_18032_sum_mid_d;Family3
NODE_A185_length_2491_cov_4.000829_BE_16561_aut_mid_d;Family3
NODE_A60_length_3639_cov_3.313869_NL_19104_sum_mid_d;Family3
NODE_A82_length_4367_cov_13.431702_RO_17363_sum_mid_d;Family3
NODE_A892_length_2321_cov_3.606061_DE_18033_spr_rec_d;Family3
NODE_A385_length_2722_cov_11.604159_NL_19104_aut_mid_d;Family3
NODE_A200_length_2400_cov_13.362032_BE_16561_aut_mid_d;Family3
NODE_A218_length_4111_cov_20.606594_DE_18032_sum_mid_d;Family3
NODE_A268_length_4537_cov_12.521973_BE_16562_aut_mid_d;Family3
NODE_A139_length_3165_cov_21.105246_BE_16563_sum_mid_d;Family3
NODE_A90_length_4557_cov_41.795536_NL_19100_aut_mid_d;Family3
NODE_A117_length_3917_cov_4.579427_NL_19100_aut_mid_d;Family3
NODE_A35_length_4661_cov_4.521161_BE_16556_aut_mid_d;Family3
NODE_A41_length_4063_cov_5.868791_NL_19102_aut_mid_d;Family3
NODE_A230_length_3570_cov_3.598340_DE_18029_spr_mid_d;Family3
NODE_A127_length_2778_cov_2.576453_BE_16556_aut_mid_d;Family3
NODE_A76_length_4782_cov_21.726674_NL_19100_aut_mid_d;Family3
NODE_A100_length_4425_cov_7.182613_PT_19410_aut_mid_d;Family3
NODE_A690_length_2772_cov_4.371800_BE_16562_aut_mid_d;Family3
NODE_A151_length_4310_cov_15.012993_DE_18028_aut_ile_g;Family3
NODE_A201_length_3830_cov_8.381561_NL_19104_aut_mid_d;Family3
NODE_A165_length_4574_cov_22.620636_DE_18032_sum_mid_d;Family3
NODE_A117_length_3149_cov_5.837565_FR_19767_sum_mid_d;Family3
NODE_A720_length_2296_cov_3.443443_NL_19100_sum_mid_d;Family3
NODE_A358_length_2299_cov_2.735824_BE_16560_sum_mid_d;Family3
NODE_A129_length_3842_cov_5.419389_NL_19103_aut_mid_d;Family3
NODE_A779_length_2284_cov_5.037608_BE_16557_sum_mid_d;Family3
NODE_A95_length_2348_cov_4.642448_BE_16557_aut_mid_d;Family3
NODE_A50_length_4461_cov_9.018704_BE_16561_aut_mid_d;Family3
NODE_A57_length_4731_cov_11.607220_BE_16558_aut_mid_d;Family3
NODE_A27_length_4260_cov_8.579010_BE_16557_aut_mid_d;Family3
NODE_A170_length_4102_cov_5.617640_NL_19101_sum_mid_d;Family3
NODE_A83_length_4638_cov_24.306073_NL_19100_aut_mid_d;Family3
NODE_A184_length_2492_cov_4.988406_BE_16561_aut_mid_d;Family3
NODE_A109_length_2753_cov_5.069133_RO_26022_aut_mid_d;Family3
NODE_A96_length_3655_cov_5.568195_BE_16561_aut_mid_d;Family3
NODE_A147_length_2710_cov_6.642613_PT_19413_sum_mid_d;Family3
NODE_A538_length_3103_cov_7.502644_CH_17692_sum_rec_d;Family3
NODE_A143_length_3032_cov_11.696785_BE_16558_aut_mid_d;Family3
NODE_A200_length_4626_cov_54.470213_DE_18028_aut_mid_g;Family3
NODE_A96_length_4436_cov_29.565726_NL_19100_aut_mid_d;Family3
NODE_A519_length_2466_cov_4.722478_DE_18032_sum_mid_d;Family3
NODE_A187_length_3162_cov_4.570827_NL_19103_aut_mid_d;Family3
NODE_A88_length_4615_cov_5.596739_NL_19103_aut_mid_d;Family3
NODE_A45_length_4532_cov_7.105724_PT_19414_sum_mid_d;Family3
NODE_A421_length_2691_cov_4.747896_DE_18029_spr_mid_d;Family3
NODE_A228_length_2429_cov_2.973214_BE_16558_aut_mid_d;Family3
NODE_A154_length_4626_cov_11.121345_DE_18032_sum_mid_d;Family3
NODE_A209_length_3191_cov_7.360951_BE_16562_sum_mid_d;Family3
NODE_A93_length_3700_cov_13.807066_BE_16561_aut_mid_d;Family3
NODE_A447_length_3340_cov_8.523751_DE_18030_spr_mid_d;Family3
NODE_A219_length_2391_cov_11.643475_NL_19100_aut_mid_d;Family3
NODE_A95_length_4123_cov_7.098616_BE_16558_aut_mid_d;Family3
NODE_A778_length_2793_cov_2.929676_UK_14502_sum_mid_d;Family3
NODE_A72_length_4461_cov_63.266195_FR_19767_sum_mid_d;Family3
NODE_A191_length_2454_cov_4.688263_BE_16561_aut_mid_d;Family3
NODE_A154_length_4771_cov_6.948445_BE_16557_sum_mid_d;Family3
NODE_A152_length_2990_cov_4.707518_NL_19100_aut_mid_d;Family3
NODE_A48_length_4323_cov_6.491757_FR_19770_aut_mid_d;Family3
NODE_A120_length_3964_cov_13.402110_NL_19103_aut_mid_d;Family3
NODE_A53_length_3386_cov_6.964642_DE_18030_aut_mid_d;Family3
NODE_A189_length_4457_cov_17.916210_BE_16557_sum_mid_d;Family3
NODE_A325_length_4225_cov_5.858004_CH_17690_aut_mid_d;Family3
NODE_A92_length_4532_cov_14.076543_NL_19100_aut_mid_d;Family3
NODE_A561_length_2361_cov_11.649299_DE_18032_sum_mid_d;Family3
NODE_A302_length_4426_cov_5.591170_CH_17690_aut_mid_d;Family3
NODE_A224_length_2378_cov_5.840070_RO_17363_spr_mid_d;Family3
NODE_A539_length_3154_cov_8.784855_BE_16562_aut_mid_d;Family3
NODE_B39_length_3934_cov_10.037853_DE_18032_sum_mid_d;Family3
NODE_A7_length_5905_cov_5.974091_RO_17378_aut_mid_d;Family3
NODE_A50_length_3754_cov_10.482459_NL_19102_aut_mid_d;Family3
NODE_A99_length_5644_cov_16.498473_DE_18032_sum_mid_d;Family3
NODE_A141_length_2753_cov_5.317265_PT_19414_sum_mid_d;Family3
NODE_A263_length_5377_cov_12.284340_CH_17690_aut_rec_d;Family3
NODE_A121_length_3513_cov_6.315483_BE_16558_aut_mid_d;Family3
NODE_A673_length_2970_cov_2.860007_UK_14502_sum_mid_d;Family3
NODE_A316_length_3276_cov_9.037199_DE_18032_sum_mid_d;Family3
NODE_A139_length_4812_cov_17.675607_DE_18032_sum_mid_d;Family3
NODE_A56_length_4056_cov_3.465444_PT_19414_sum_mid_d;Family3
NODE_A549_length_3135_cov_4.958470_BE_16562_aut_mid_d;Family3
NODE_A1278_length_2613_cov_2.893927_BE_16560_aut_ile_d;Family3
NODE_A377_length_2959_cov_9.775850_DE_18032_sum_mid_d;Family3
NODE_A66_length_4272_cov_4.290822_BE_16561_aut_mid_d;Family3
NODE_A384_length_4667_cov_6.250763_CH_17690_aut_rec_d;Family3
NODE_A114_length_3167_cov_7.856958_BE_16561_aut_mid_d;Family3
NODE_A174_length_2583_cov_2.980846_BE_16561_aut_mid_d;Family3
NODE_A379_length_2816_cov_12.718145_NL_19101_sum_mid_d;Family3
NODE_A207_length_4295_cov_5.905405_DE_18032_sum_mid_d;Family3
NODE_A36_length_4129_cov_13.995311_RO_17378_sum_mid_d;Family3
NODE_A596_length_2644_cov_4.595637_BE_16557_sum_mid_d;Family3
NODE_A307_length_3333_cov_5.641585_DE_18032_sum_mid_d;Family3
NODE_A412_length_2419_cov_5.688301_NL_19102_sum_mid_d;Family3
NODE_A31_length_2469_cov_4.647993_UK_14498_sum_mid_d;Family3
NODE_A580_length_2311_cov_4.779767_DE_18032_sum_mid_d;Family3
NODE_A286_length_4361_cov_12.903595_BE_16562_aut_mid_d;Family3
NODE_A92_length_2968_cov_7.949153_CH_17685_sum_mid_d;Family3
NODE_A120_length_2366_cov_4.055046_NL_19102_aut_mid_d;Family3
NODE_A671_length_2380_cov_3.842814_NL_19100_sum_mid_d;Family3
NODE_A147_length_3474_cov_7.707978_UK_14501_sum_rec_d;Family3
NODE_A161_length_4584_cov_13.726647_DE_18032_sum_mid_d;Family3
NODE_A394_length_2912_cov_14.275838_DE_18032_sum_mid_d;Family3
NODE_A331_length_2569_cov_4.276083_BE_16562_sum_mid_d;Family3
NODE_A110_length_2729_cov_20.776772_RO_26022_aut_mid_d;Family3
NODE_A43_length_4433_cov_9.040404_FR_19770_aut_mid_d;Family3
NODE_A150_length_4666_cov_11.187405_DE_18032_sum_mid_d;Family3
NODE_A115_length_3935_cov_5.725505_NL_19100_aut_mid_d;Family3
NODE_A241_length_3871_cov_6.683975_DE_18032_sum_mid_d;Family3
NODE_A99_length_3513_cov_8.272119_BE_16561_aut_mid_d;Family3
