contig,Host_group
NODE_A16_length_35617_cov_59.812324_BE_16556_sum_rec_d,other
NODE_A16_length_5743_cov_121.137310_NL_19102_aut_mid_d,other
NODE_A177_length_4013_cov_8.851880_DE_18029_spr_mid_d,other
NODE_A17_length_11577_cov_719.155217_FR_19769_aut_rec_d,Lactobacillus
NODE_A17_length_18933_cov_76.287760_RO_17378_sum_rec_d,Bifidobacterium
NODE_A17_length_19050_cov_1586.208135_FR_19774_sum_rec_d,Bifidobacterium
NODE_A17_length_20455_cov_26.607371_BE_16562_sum_rec_d,Lactobacillus
NODE_A17_length_20570_cov_29.172254_FR_19772_aut_rec_d,Gilliamella
NODE_A17_length_20713_cov_41.751018_BE_16561_sum_rec_d,Lactobacillus
NODE_A17_length_21293_cov_36.138056_RO_17380_sum_rec_d,Lactobacillus
NODE_A17_length_23808_cov_38.793603_BE_16556_spr_mid_d,Snodgrassella
NODE_A17_length_23851_cov_13.839657_BE_16557_aut_rec_d,other
NODE_A17_length_23852_cov_61.362397_BE_16562_aut_mid_d,other
NODE_A17_length_24368_cov_42.507925_BE_16557_sum_rec_d,Gilliamella
NODE_A17_length_24821_cov_63.887892_FR_19767_sum_rec_d,Lactobacillus
NODE_A17_length_24847_cov_190.785709_NL_19102_spr_rec_d,Gilliamella
NODE_A17_length_26124_cov_9.699505_NL_19101_aut_rec_d,other
NODE_A17_length_37371_cov_30.766531_NL_19103_aut_rec_d,Bifidobacterium
NODE_A180_length_4506_cov_99.740122_DE_18032_sum_mid_d,other
NODE_A187_length_4465_cov_18.553099_BE_16557_sum_mid_d,other
NODE_A188_length_3879_cov_7.072593_DE_18029_spr_mid_d,other
NODE_A189_length_4442_cov_25.487973_DE_18032_sum_mid_d,other
NODE_A18_length_13254_cov_41.774683_NL_20378_aut_rec_d,Bifidobacterium
NODE_A18_length_18113_cov_54.602295_CH_17690_sum_rec_d,Bifidobacterium
NODE_A18_length_18329_cov_30.477318_BE_16558_aut_rec_d,Bifidobacterium
NODE_A18_length_18826_cov_484.090092_RO_17378_sum_rec_d,Bifidobacterium
NODE_A18_length_19046_cov_584.642258_FR_19772_aut_rec_d,Bifidobacterium
NODE_A18_length_19084_cov_77.958875_BE_16560_spr_rec_d,Bifidobacterium
NODE_A18_length_19477_cov_394.357680_DE_18028_aut_mid_g,Bifidobacterium
NODE_A18_length_20086_cov_101.782770_FR_19768_sum_rec_d,other
NODE_A18_length_22088_cov_79.586116_PT_19413_spr_rec_d,Bifidobacterium
NODE_A18_length_22506_cov_90.777074_DE_18027_aut_rec_d,Lactobacillus
NODE_A18_length_23030_cov_104.300353_NL_19104_sum_rec_d,Lactobacillus
NODE_A18_length_24335_cov_27.171984_RO_17377_sum_rec_d,other
NODE_A18_length_28147_cov_700.464731_CH_17685_aut_rec_d,Bifidobacterium
NODE_A18_length_29765_cov_22.678557_BE_16560_sum_rec_d,other
NODE_A18_length_33113_cov_897.864693_NL_20378_spr_rec_d,Lactobacillus
NODE_A18_length_36621_cov_16.970118_NL_19104_aut_rec_d,other
NODE_A191_length_4439_cov_24.256992_DE_18032_sum_mid_d,other
NODE_A1920_length_2894_cov_14.505502_PT_19413_sum_rec_d,Lactobacillus
